company,open_date,listing_date,bse_list,nse_list,bse,nse,issue_amt,issue_price,qib,nii,rii,total,listing_price_am,listing_price_pm,list_gain_pm,mp_val,mp_percentage,52_wk_high,52_wk_high_date,52_wk_low,52_wk_low_date,assets,revenue,pat,pre_pe,post_pe,roe,roce,ronw,net_worth,reserves,borrowing,pat_margin,pre_eps,post_eps,pb_value,ebitda
Capital Small Finance Bank IPO,2024-02-07,2024-02-14,1,1,544120,CAPITALSFB,523.07,468,3.4,4.11,2.62,3.23,430.25,435,-7.05,272.7,-41.92,330.65,22/07/2025,250,22/01/2026,8390.69,415.22,54.39,17.68,19.35,16.45%,,15.33%,711.76,676.41,572.76,,26.48,24.19,1.81,
Jana Small Finance Bank IPO,2024-02-07,2024-02-14,1,1,544118,JSFB,570,414,16.59,26.18,5.81,13.94,396,368.15,-11.07,388.15,-6.44,552.5,10/06/2025,338.9,06/02/2026,28105.87,2215.57,213.22,15.11,10.15,16.78%,,14.4%,2547.11,2225.44,5313.54,,27.4,40.77,1.28,
Rashi Peripherals IPO,2024-02-07,2024-02-14,1,1,544119,RPTECH,600,311,61.02,65.97,10.98,44.25,339.5,321.5,3.38,365.6,17.49,408.7,06/01/2026,245.15,03/03/2025,4058.64,5473.27,72.02,11.75,14.23,19.33%,14.21%,17.6%,772.74,686.24,1395.2,1.3,26.46,21.86,1.86,
Entero Healthcare Solutions IPO,2024-02-09,2024-02-16,1,1,544122,ENTERO,1600,1258,1.53,0.21,1.32,1.31,1228.7,1149.55,-8.62,1148.6,-8.22,1510.8,26/05/2025,944,29/12/2025,1505.95,1898.98,11.64,0,129.75,-2.66%,6.06%,-1.86%,660.54,,488.68,4.69,0,9.7,7.22,
Vibhor Steel Tubes IPO,2024-02-13,2024-02-20,1,1,544124,VSTL,72.17,151,75.42,770.67,197.91,221.21,425,446.25,195.53,119.36,-21.49,204.99,08/07/2025,114,20/01/2026,376.48,531.24,8.52,10.17,16.8,25.51%,16.48%,22.6%,101.76,,160.27,1.89,14.85,8.99,2.3,
Juniper Hotels IPO,2024-02-21,2024-02-28,1,1,544129,JUNIPER,1800,360,1.9,0.88,1.29,1.68,365,401.5,11.53,243.53,-32.49,345.55,28/05/2025,205.75,29/01/2026,3837.83,337.43,-26.5,,,,,-0.42%,859.67,687.17,2252.75,,,,,
GPT Healthcare IPO,2024-02-22,2024-02-29,1,1,544131,GPTHEALTH,525.14,186,7.57,11.03,2.35,6.26,215,200.7,7.9,127.91,-31.32,185,05/08/2025,123.32,03/02/2026,332.09,206.7,23.49,38.1,32.49,23.59%,26.09%,23.77%,171.43,92.75,55.57,10.64,4.88,0,9.06,
Exicom Tele-Systems IPO,2024-02-27,2024-03-05,1,1,544133,EXICOM,429,142,56.23,158.82,121.61,78.16,265,224.95,58.42,96.53,-31.69,208.65,11/06/2025,93.2,02/02/2026,629.41,467.21,27.46,217.63,31.24,13.38%,10.92%,2.75%,311.4,204.95,72.84,4.3,0.65,4.55,5.63,
Platinum Industries IPO,2024-02-27,2024-03-05,1,1,544134,PLATIND,235.32,171,61.19,141.66,50.17,69.4,225,221.2,29.36,241.41,41.26,342.4,17/09/2025,213,12/01/2026,137.72,123.73,22.84,18.73,20.57,90.02%,56.85%,61.26%,85.04,44.86,11.46,9.32,9.13,8.31,11.13,
Mukka Proteins IPO,2024-02-29,2024-03-07,1,1,544135,MUKKA,224,28,76.64,246.54,57.27,95.35,40,42.25,50.89,24.92,-11.21,36.73,18/03/2025,20.16,21/01/2026,641.18,612.88,32.98,12.96,12.73,36.71%,17.62%,34.19%,159.11,144.92,317.73,4.04,2.16,2.2,4.78,
R K SWAMY IPO,2024-03-04,2024-03-12,1,1,544136,RKSWAMY,423.56,288,8.85,34.16,33.33,14.81,250,262.6,-8.82,106.73,-63.35,248.04,24/03/2025,97.5,21/01/2026,252.23,142.55,7.93,40.96,91.63,16.47%,6.29%,5.41%,146.66,28.85,51.05,5.56,7.03,3.14,8.73,
J.G.Chemicals IPO,2024-03-05,2024-03-13,1,1,544138,JGCHEM,251.19,221,13.41,47.72,17.59,20.02,209,184.8,-16.38,378.4,72.47,558,21/07/2025,280.45,07/04/2025,271.26,491.1,18.51,16.25,20.08,8.2%,11.86%,8.16%,217.86,193.22,,7.24,13.6,11.01,3.51,
Gopal Snacks IPO,2024-03-06,2024-03-14,1,1,544140,GOPALSNACK,650,401,7.99,9.95,4.08,6.88,351,362.7,-9.55,299.45,-25.39,398,10/09/2025,255.9,17/03/2025,434.54,677.97,55.57,44.47,44.96,16.05%,20.83%,16.05%,346.1,333.17,26.05,8.22,9.02,8.92,14.43,
Popular Vehicles IPO,2024-03-12,2024-03-19,1,1,544144,PVSL,601.55,295,1.52,0.66,1.03,1.22,289.2,276.15,-6.39,105.98,-64.1,163,16/10/2025,86.75,21/04/2025,1941.78,2848.21,40.04,28.88,26.22,10.42%,8.83%,10.42%,384.21,371.67,764.61,1.41,10.22,11.25,4.82,
Krystal Integrated IPO,2024-03-14,2024-03-21,1,1,544149,KRYSTAL,300.12,715,3.54,45.38,3.32,9.74,785,712.85,-0.3,626.25,-12.29,729.5,03/09/2025,415.6,18/02/2025,449.83,455.67,20.56,21.45,24.3,11.71%,16.97%,11.21%,183.68,170.09,103.36,4.56,33.33,29.42,4.49,
SRM Contractors IPO,2024-03-26,2024-04-03,1,1,544158,SRM,130.2,210,23.91,214.68,45.86,60.21,215.25,226,7.62,392,86.5,649.95,17/11/2025,287.05,04/03/2025,168.87,242.28,21.07,18.76,17.15,,29.43%,25.02%,37.24,67.48,42.32,8.98,11.2,12.24,4.17,
Bharti Hexacom IPO,2024-04-03,2024-04-12,1,1,544162,BHARTIHEXA,4275,570,20.07,10.28,2.74,16.87,755,813.3,42.68,1668.7,193.39,2052.9,01/07/2025,1234,27/02/2025,19603,5420.8,281.8,51.89,75.85,,,7.08%,3978.8,4166.1,6253,,10.98,7.51,6.45,
JNK India IPO,2024-04-23,2024-04-30,1,1,544167,JNKINDIA,649.47,415,31.58,19.92,4.17,20.24,621,694.55,67.36,241.38,-41.8,480,12/02/2025,200.92,28/01/2026,453.39,256.76,46.21,43.32,37.46,31.79%,34.73%,31.79%,168.56,158.88,56.73,18.24,9.58,11.08,11.92,
Indegene IPO,2024-05-06,2024-05-13,1,1,544172,INDGN,1841.76,452,77.5,56.44,8.25,49.75,655,570.9,26.31,474.7,5.03,632.9,03/06/2025,455.6,27/01/2026,2518.15,1969.75,241.9,37.78,33.53,,,18.23%,1327,1282.65,399.33,12.62,11.96,13.48,7.55,
Aadhar Housing Finance IPO,2024-05-08,2024-05-15,1,1,544176,AADHARHFC,3000,315,31.13,17.31,2.52,19,315,329.45,4.59,466.65,48.02,547.8,24/09/2025,361.6,25/02/2025,18035.57,1895.17,547.88,22.8,18.39,18.4%,,12.9%,4249.1,,13127.59,,13.81,17.13,2.93,
TBO Tek IPO,2024-05-08,2024-05-15,1,1,544174,TBOTEK,1550.81,920,50.73,50.59,25.94,48.14,1426,1406.3,52.86,1520.5,64.79,1764.8,21/11/2025,996,07/04/2025,3754.05,1039.56,154.18,64.58,48.6,,,3076%,501.21,478.43,2.93,,14.25,18.93,18.66,
Go Digit General Insurance IPO,2024-05-15,2024-05-23,1,1,544179,GODIGIT,2614.65,272,5.61,7.23,4.08,5.7,286,306,12.5,322.6,18.53,381.4,24/09/2025,264.6,07/04/2025,3619.95,130.83,129.02,670.31,145.03,,,5.25%,2459.34,2391.97,200,,0.41,1.88,9.67,
Awfis Space Solutions IPO,2024-05-22,2024-05-30,1,1,544181,AWFIS,598.93,383,47.18,130.09,53.74,60.05,421,402.95,5.21,323.95,-15.38,718.95,06/06/2025,356.4,06/02/2026,1352.25,633.69,-18.94,,,,37.43%,-7.66%,247.19,-265.56,23.72,-2.99,,,9.63,
Kronox Lab Sciences IPO,2024-06-03,2024-06-10,1,1,544187,KRONOX,130.15,136,35.53,304.26,54.9,82.62,151.35,151.35,11.29,122.36,-10.15,207.49,07/07/2025,118,21/01/2026,66.96,68.44,15.47,30.37,24.47,25.66%,33.15%,25.66%,60.28,15.56,,22.6,4.48,5.56,8.37,
Le Travenues Technology IPO,2024-06-10,2024-06-18,1,1,544192,IXIGO,740.1,93,43.1,110.89,54.44,54.4,138.1,165.72,78.19,196.8,110.97,339.15,16/10/2025,117,04/03/2025,678.71,497.1,65.71,148.87,41.12,,,15.26%,437.13,399.83,43.36,,0.62,2.26,8.14,
Akme Fintrade IPO,2024-06-19,2024-06-26,1,1,544200,AFIL,132,120,11.68,130.98,45.75,39.44,127,133.35,11.12,4.98,-58.75,10.16,17/04/2025,3.92,02/02/2026,417.96,53.45,12.25,,,5.64%,,5.81%,217.01,185.34,195.19,22.93,3.87,,,
DEE Development Engineers IPO,2024-06-19,2024-06-26,1,1,544198,DEEDEV,418.01,203,83.87,147.1,24.89,72.53,339,335.32,65.18,205.53,0.99,336.2,02/07/2025,167,18/02/2025,1171.01,557.86,14.34,83,73.33,,3.91%,3.35%,428.19,380.23,407.14,2.63,2.45,2.77,2.46,
Stanley Lifestyles IPO,2024-06-21,2024-06-28,1,1,544202,STANLEY,537.02,369,86.67,121.66,19.27,68.33,494.95,474.75,28.66,168.21,-54.42,377.5,09/06/2025,167,13/02/2026,581.54,322.29,18.7,54.43,84.4,7.92%,8.63%,8.34%,237.21,225.83,30.9,5.97,6.78,4.37,8.03,
Allied Blenders IPO,2024-06-25,2024-07-02,1,1,544203,ABDL,1500,281,21.76,34.06,4.73,17.61,320,317.9,13.13,529.15,88.36,696.8,04/11/2025,279,07/04/2025,2741.39,5914.98,4.23,4284.57,1393.87,1.03%,24.35%,1.03%,409.26,360.43,798.11,0.05,0.07,0.2,16.77,
Vraj Iron IPO,2024-06-26,2024-07-03,1,1,544204,VRAJ,171,207,69.92,221.52,57.55,88.33,240,252,21.74,128.57,-38.14,194.19,15/05/2025,119,27/01/2026,253.05,304.81,44.58,9.48,11.49,23.78%,25.34%,23.78%,187.5,162.78,49.3,3.61,21.84,18.02,2.73,
Bansal Wire Industries IPO,2024-07-03,2024-07-10,1,1,544209,BANSALWIRE,745,256,62.01,54.16,14.16,44.08,356,350.35,36.86,275.7,7.81,434.3,22/07/2025,252.3,27/01/2026,1264.01,2470.89,78.8,41.41,50.86,21.19%,18.46%,18.27%,422.37,358.64,681.14,3.19,6.18,5.03,7.72,
Emcure Pharmaceuticals IPO,2024-07-03,2024-07-10,1,1,544210,EMCURE,1952.03,1008,76.95,49.21,7.23,48.13,1325.05,1359.15,34.84,1488.7,47.68,1585.6,19/01/2026,889,07/04/2025,7806.16,6715.24,527.58,34.55,36.07,16.9%,19.37%,16.87%,2952.28,2722.4,2091.94,7.86,29.17,27.95,6.18,
Sanstar IPO,2024-07-19,2024-07-26,1,1,544217,SANSTAR,510.15,95,58.84,135.23,23.54,57.94,109,115.07,21.13,89.12,-5.78,109.75,12/02/2025,80,07/04/2025,527.57,1081.68,66.77,19.98,25.93,30.92%,24.43%,30.92%,215.91,225.18,127.64,6.17,4.75,3.66,6.18,
Akums Drugs IPO,2024-07-30,2024-08-06,1,1,544222,AKUMS,1856.74,679,36.57,42.15,21.02,35.54,725,796.25,17.27,451.35,-33.63,622.95,27/05/2025,405,07/04/2025,3516.37,4212.21,0.79,,,0.11%,3.37%,-57%,709.5,861.01,491.56,0.02,,0.05,13.69,
Ceigall India IPO,2024-08-01,2024-08-08,1,1,544223,CEIGALL,1252.66,401,13.13,14.85,3.89,10.14,419,386.75,-3.55,289.65,-27.91,307.9,10/02/2026,222.61,09/12/2025,2592.19,3066.19,304.91,20.67,22.91,33.57%,31.98%,33.57%,906.41,,1811.02,10.05,19.4,17.5,6.95,
Ola Electric Mobility IPO,2024-08-02,2024-08-09,1,1,544225,OLAELEC,6145.56,76,2.84,2.2,3.86,2.85,76,91.2,20,30.89,-59.34,71.25,04/09/2025,30.41,13/02/2026,7735.41,5243.27,-1584.4,-17.69,-21.16,,,-78.46%,2019.34,-2882.54,2389.21,,-4.3,-3.59,13.72,
Brainbees Solutions IPO,2024-08-06,2024-08-13,1,1,544226,FIRSTCRY,4193.73,465,8.32,4.69,2.38,7.17,651,679.1,46.04,269.8,-41.99,438.7,08/09/2025,254.5,27/01/2026,7510.38,6575.08,-321.51,-69.91,-75.09,,,-8.65%,3170.74,3081.74,462.72,,-6.65,-6.19,6.49,
Unicommerce eSolutions IPO,2024-08-06,2024-08-13,1,1,544227,UNIECOM,276.57,108,55.83,254.2,136.56,93.66,235,210.08,94.52,100.96,-6.25,155.8,04/09/2025,95.4,13/02/2026,109.11,109.43,13.08,84.59,84.59,17.36%,25.93%,18.98%,68.91,45.87,,12.63,1.28,1.28,15.81,
Saraswati Saree Depot IPO,2024-08-12,2024-08-20,1,1,544230,SSDL,160.01,160,63.3,360.72,64.8,108.44,194,203.7,27.31,74,-53.12,121.03,17/02/2025,62.9,02/02/2026,205.94,612.58,29.53,17.94,21.46,5888%,6446%,4549%,64.91,,43.49,4.83,8.92,7.46,8.16,
Interarch Building Products IPO,2024-08-19,2024-08-26,1,1,544232,INTERARCH,600.29,900,79.44,127.48,20.4,65.75,1220,1196.45,32.94,1924.3,114.01,2762.6,10/11/2025,1264,07/04/2025,755.01,1306.32,86.26,15.04,17.36,19.4%,25.79%,22.26%,262.65,,3.36,7.2,59.84,51.85,0,
Orient Technologies IPO,2024-08-21,2024-08-28,1,1,544235,ORIENTTECH,214.76,206,75.42,302.28,66.68,106.39,288,302.4,46.8,335.35,62.43,466.73,07/10/2025,267.45,18/03/2025,311.14,606.86,41.45,17.8,20.7,2726%,2842%,2364%,175.31,138.79,4.82,6.87,11.57,9.95,4.21,
Premier Energies IPO,2024-08-27,2024-09-03,1,1,544238,PREMIERENE,2830.4,450,85.49,50.73,7.59,52.82,990,839.9,86.64,759.2,68.64,1163.9,19/05/2025,660,01/02/2026,3735.5,1668.79,198.16,82.09,25.59,43.73%,25.65%,37.46%,26.96,255.73,1200.16,7.3,5.48,17.58,30.76,
ECOS Mobility IPO,2024-08-28,2024-09-04,1,1,544239,ECOSMOBLTY,601.2,334,55.38,70.23,19.31,44.98,390,443.15,32.68,173.13,-48.22,358.4,23/07/2025,165,07/04/2025,296.66,568.21,62.53,32.05,32.05,42.75%,42.88%,42.75%,177.41,165.41,21.72,11,10.42,10.42,11.3,
Baazar Style Retail IPO,2024-08-30,2024-09-06,1,1,544243,BZRSTYL,834.68,389,33.32,59.53,9.36,28.83,389,400,2.83,353.65,-8.8,392,03/10/2025,181,18/02/2025,1165.97,982.83,21.94,125.54,132.28,10.74%,18.39%,10.32%,212.56,180.2,178.23,2.23,3.1,2.94,12.78,
Gala Precision Engineering IPO,2024-09-02,2024-09-09,1,1,544244,GALAPREC,167.93,529,92.68,425.84,102.38,145.78,721.1,757.15,43.13,793,48.51,1080,19/02/2025,677.75,28/01/2026,188.69,204.38,22.33,23.95,30.01,23.59%,19.91%,21.38%,104.45,94.67,55.03,11.89,22.09,17.63,5.12,
Shree Tirupati Balajee Agro IPO,2024-09-05,2024-09-12,1,1,544249,STBAL,169.65,83,60.56,209.02,71.62,86.7,90,94.5,13.86,34.12,-58.65,65.64,11/02/2025,31.91,03/02/2026,516.94,552.82,36.07,15.37,18.77,20.84%,16.29%,20.84%,173.07,106.24,243.69,6.53,5.4,4.42,3.01,
Bajaj Housing Finance IPO,2024-09-09,2024-09-16,1,1,544252,BAJAJHFL,6560,70,89.67,42.85,7.54,49.63,150,165,135.71,89.29,27.56,136.96,24/04/2025,87.11,02/02/2026,88538.83,2208.73,482.61,31.62,30.2,,,3.6%,14719.91,4252.83,73347.06,,2.21,2.32,3.72,
Kross IPO,2024-09-09,2024-09-16,1,1,544253,KROSS,500,240,10.44,23.36,11.48,12.74,240,259.81,8.25,216.34,-9.83,237.6,18/09/2025,150.06,07/04/2025,352,621.46,44.88,28.93,34.5,30.57%,28.15%,30.57%,146.81,119.76,117.9,7.22,8.3,6.96,8.84,
Tolins Tyres IPO,2024-09-09,2024-09-16,1,1,544254,TOLINS,230,226,11.43,28.72,22.31,17.83,228,239.4,5.93,128.83,-42.92,202,12/09/2025,107.72,04/03/2025,221.6,228.69,26.01,26.64,34.33,25.87%,36.08%,25.87%,100.53,85.07,78.77,11.45,8.48,6.58,6.14,
P N Gadgil Jewellers IPO,2024-09-10,2024-09-17,1,1,544256,PNGJL,1100,480,58.18,58.89,17.73,44.13,830,793.3,65.27,566.95,18.09,701.4,21/10/2025,473.8,07/04/2025,1464.98,6119.1,154.34,36.7,42.2,28.88%,27.31%,28.88%,534.38,,396.5,2.53,13.08,11.37,10.6,
Western Carriers IPO,2024-09-13,2024-09-24,1,1,544258,WCIL,492.88,172,12.01,46.53,27.21,22.51,171,159.44,-7.3,120.46,-30.15,147.29,22/09/2025,65.1,07/04/2025,754.01,1691.41,80.35,16.85,21.83,22.41%,29.23%,20.17%,398.36,359.01,266,4.77,10.21,7.88,3.4,
Arkade Developers IPO,2024-09-16,2024-09-24,1,1,544261,ARKADE,410,128,69.48,174.23,58.03,80.78,175,165.86,29.58,121.27,-5.04,213.69,18/07/2025,107.96,29/01/2026,575.01,635.71,122.81,16.01,19.35,46.9%,47.34%,46.9%,323.4,171.4,69.41,19.35,7.99,6.61,6.02,
Northern Arc Capital IPO,2024-09-16,2024-09-24,1,1,544260,NORTHARC,777,263,97.41,149.32,32.85,80.97,350,323.4,22.97,252.05,-4.22,290,06/10/2025,141.47,07/04/2025,11707.66,1906.03,317.69,11.78,13.36,,,13.32%,2314.35,2123.37,9047.76,,22.32,19.69,1.49,
Manba Finance IPO,2024-09-23,2024-09-30,1,1,544262,MANBA,150.84,120,58,511.91,139.75,154.7,150,157.45,31.21,124.09,3.79,159.5,25/06/2025,119,03/03/2025,973.75,191.63,31.42,14.39,19.19,21.36%,19.39%,15.66%,200.61,162.46,752.27,,8.34,6.25,2.25,
KRN Heat Exchanger IPO,2024-09-25,2024-10-03,1,1,544263,KRN,341.95,220,102.4,428.12,101.07,151.95,480,478.79,117.63,715.2,225.7,1010,05/03/2025,589.8,27/01/2026,258.36,313.54,39.07,24.78,33.52,40.86%,31.21%,29.68%,131.65,,59.69,12.67,8.88,6.56,,
Diffusion Engineers IPO,2024-09-26,2024-10-04,1,1,544264,DIFFNKG,157.96,168,38.77,76.42,83.84,59.88,193.5,203.17,20.93,271.06,61.16,418.2,11/09/2025,231.85,30/04/2025,275.59,285.56,30.8,15.28,20.41,18.52%,20.63%,18.52%,190.7,163.03,34.44,10.79,10.99,8.23,2.47,
Garuda Construction IPO,2024-10-08,2024-10-15,1,1,544271,GARUDA,264.1,95,1.13,8.93,10.56,5.6,105,106.36,11.96,203.53,114.74,249.3,07/11/2025,87.5,09/05/2025,234.84,11.88,3.5,19.49,21.03,36.14%,46.69%,30.62%,122.51,85.16,0.15,23.63,4.87,4.52,5.97,
Hyundai Motor IPO,2024-10-15,2024-10-22,1,1,544274,HYUNDAI,27858.75,1960,3.4,0.57,0.44,1.93,1934,1819.6,-7.16,2179.5,11.01,2890,22/09/2025,1541.7,07/04/2025,25370.24,17567.98,1489.65,26.28,26.73,,13.69%,12.26%,12148.71,11336.17,758.14,8.5,74.58,73.33,14.93,
Deepak Builders IPO,2024-10-21,2024-10-28,1,1,544276,DBEIL,260.04,203,6.03,81.74,38.95,28.91,200,161.95,-20.22,89.39,-55.87,185.6,29/09/2025,84.31,02/02/2026,641.1,106.34,14.21,12.06,16.63,8.48%,8.97%,9.57%,155.81,138.23,153.17,13.52,16.84,12.2,4.68,
Waaree Energies IPO,2024-10-21,2024-10-28,1,1,544277,WAAREEENER,4321.44,1503,86.51,64.65,11.06,55.98,2500,2338.9,55.62,3096.2,106.04,3865,12/09/2025,1863,07/04/2025,11989.48,3496.41,401.13,30.87,26.76,8.79%,9.45%,8.81%,4471.71,4221.69,261.24,11.47,48.69,56.16,8.84,
Godavari Biorefineries IPO,2024-10-23,2024-10-30,1,1,544279,GODAVARIB,554.75,352,1.77,0.89,1.68,1.61,308,343.2,-2.5,284.3,-19.25,348.7,24/07/2025,145,28/03/2025,1554.62,525.27,-26.11,120.04,-17.25,-11.16%,-2.35%,-11.16%,233.84,432.34,703.75,-4.97,2.93,-20.4,6.31,
Afcons Infrastructure IPO,2024-10-25,2024-11-04,1,1,544280,AFCONS,5430,463,2.19,5.23,0.94,2.2,426,474.2,2.42,332.25,-28.3,498.7,24/03/2025,319,29/01/2026,17184.58,3213.47,91.59,35.08,46.48,10.55%,14.89%,2.5%,3662.25,3342.52,3365.1,2.85,13.2,9.96,4.31,
