Company,Opening_Date,Listing_Date,Listing_At,BSE_Scrip_Code,NSE_Symbol,Issue_Amount_(Rs.cr.),Issue_Price_(Rs.),QIB_(x),NII_(x),Retail_(x),Total_(x),Open_Price_on_Listing_(Rs.),Close_Price_on_Listing_(Rs.),%_Gain_/_Loss_(Issue_price_v/s_Close_price_on_Listing),Current_Price_<br>at_BSE_(Rs.),Current_Price_<br>at_NSE_(Rs.),Gain_/_Loss_(%),Market_Price_(Rs.),52_Week_High,52_Week_Low,Market_Price_(Value),Market_Price_(%),52_Week_High_(Value),52_Week_High_(Date),52_Week_Low_(Value),52_Week_Low_(Date),Assets_(Rs.cr.),Revenue_(Rs.cr.),Profit_After_Tax_(Rs.cr.),P/E_(x)_Pre-IPO,P/E_(x)_Post-IPO,ROE,ROCE,RoNW,Net_Worth_(Rs.cr.),Reserves_and_Surplus_(Rs.cr.),Total_Borrowing_(Rs.cr.),PAT_Margin_%,EPS_(Rs.)_Pre-IPO,EPS_(Rs.)_Post-IPO,Price_to_Book_Value,Ebitda_(Rs.cr.)
Urban Company IPO,2025-09-10,2025-09-17,"BSE, NSE",544515,URBANCO,"1,900.24",103,59.44,77.52,40.1,60.14,162.25,166.83,61.97,121.1,121.25,17.57,121.08 (17.62%),"201.18 (Sep 22, 2025)","116.58 (Jan 27, 2026)",121.08,17.62,201.18,"Sep 22, 2025",116.58,"Jan 27, 2026","2,200.64","1,260.68",239.77,59.71,61.68,,,13.35%,"1,781.28","2,646.12",,,1.72,1.67,8.27,
Euro Pratik Sales IPO,2025-09-16,2025-09-23,"BSE, NSE",544519,EUROPRATIK,451.31,247,1.13,1.95,1.23,1.29,272.1,248.38,0.56,234.25,233.57,-5.16,231.99 (-5.55%),"390.00 (Nov 17, 2025)","205.10 (Jan 30, 2026)",231.99,-5.55,390,"Nov 17, 2025",205.1,"Jan 30, 2026",273.84,291.52,76.44,33.02,33.02,39.18%,44.58%,32.60%,234.49,223.88,2.68,26.08,7.48,7.48,10.77,110.1
VMS TMT IPO,2025-09-17,2025-09-24,"BSE, NSE",544521,VMSTMT,148.5,99,48.35,226.19,46.34,82.91,94.66,94.66,-4.38,51.11,51.48,-48.37,51.45 (-48.2%),"105.00 (Sep 24, 2025)","44.65 (Jan 21, 2026)",51.45,-48.2,105,"Sep 24, 2025",44.65,"Jan 21, 2026",449.35,213.39,8.58,22.24,14.32,,12.79%,20.14%,81.77,47.14,309.18,1.91,4.45,6.91,7.43,19.48
Ivalue Infosolutions IPO,2025-09-18,2025-09-25,"BSE, NSE",544523,IVALUE,560.29,299,1.98,1.18,1.22,1.59,284.95,281.85,-5.74,241.4,240.38,-19.26,247.10 (-17.51%),"340.00 (Nov 20, 2025)","213.98 (Feb 05, 2026)",247.1,-17.51,340,"Nov 20, 2025",213.98,"Feb 05, 2026","1,162.67",942.35,85.3,18.77,18.77,21.13%,28.98%,22.02%,414.79,452.36,42.45,8.87,15.93,15.93,4.96,129.13
GK Energy IPO,2025-09-19,2025-09-26,"BSE, NSE",544525,GKENERGY,464.26,153,77.69,128.29,21.34,65.56,171,167.74,9.63,111,111.06,-27.45,116.82 (-24.05%),"239.60 (Oct 23, 2025)","96.01 (Feb 02, 2026)",116.82,-24.05,239.6,"Oct 23, 2025",96.01,"Feb 02, 2026",583.62,"1,099.18",133.21,20.29,23.3,63.71%,55.65%,63.71%,209.09,175.07,217.79,12.12,7.54,6.57,12.39,199.69
Saatvik Green Energy IPO,2025-09-19,2025-09-26,"BSE, NSE",544526,SAATVIK,900.2,465,5.14,10.53,2.72,5.09,465,440.7,-5.23,417.9,419.3,-10.13,413.45 (-11.05%),"567.00 (Oct 10, 2025)","345.00 (Jan 23, 2026)",413.45,-11.05,567,"Oct 10, 2025",345,"Jan 23, 2026","1,635.74","2,192.47",213.93,24.35,27.63,63.41%,60.45%,63.41%,337.66,315.25,458.1,9.76,19.09,16.83,43.18,353.93
Atlanta Electricals IPO,2025-09-22,2025-09-29,"BSE, NSE",544527,ATLANTAELE,687.85,754,77.97,55.6,10.54,50.62,857,823.35,9.2,871.05,871.95,15.52,897.15 (18.99%),"1,097.85 (Nov 07, 2025)","707.60 (Jan 27, 2026)",897.15,18.99,1097.85,"Nov 07, 2025",707.6,"Jan 27, 2026",866.19,"1,250.49",118.65,46.33,,33.91%,39.43%,33.91%,349.9,,141.03,9.54,16.57,,23.62,199.88
Ganesh Consumer Products IPO,2025-09-22,2025-09-29,"BSE, NSE",544528,GANESHCP,408.8,322,2.39,4.31,1.13,2.23,296.05,294.3,-8.6,189.6,189.93,-41.12,191.55 (-40.33%),"309.95 (Oct 06, 2025)","188.30 (Jan 27, 2026)",191.55,-40.33,309.95,"Oct 06, 2025",188.3,"Jan 27, 2026",341.74,855.16,35.43,33.06,36.72,15.81%,19.81%,15.81%,224.13,190.47,50,4.17,9.74,8.77,5.23,73.24
Anand Rathi Share IPO,2025-09-23,2025-09-30,"BSE, NSE",544530,ARSSBL,745.64,414,19.04,30.04,4.95,15.55,432,445.55,7.62,554.4,554.65,33.91,572.80 (38.42%),"794.85 (Nov 18, 2025)","431.00 (Sep 30, 2025)",572.8,38.42,794.85,"Nov 18, 2025",431,"Sep 30, 2025","3,365.00",847,103.61,17.87,25.06,23.12%,21.32%,23.12%,503.76,481.58,905.57,12.23,23.17,16.52,4.68,311.27
Jaro Institute IPO,2025-09-23,2025-09-30,"BSE, NSE",544534,JARO,450,890,15.59,37.21,9.01,16.53,890,744.25,-16.38,473.45,474.05,-46.8,477.40 (-46.38%),"890.00 (Sep 30, 2025)","386.00 (Jan 12, 2026)",477.4,-46.38,890,"Sep 30, 2025",386,"Jan 12, 2026",276.7,254.02,51.67,34.88,38.17,35.76%,37.38%,30.12%,171.55,151.31,51.11,20.34,25.52,23.32,10.5,83.58
Seshaasai Technologies IPO,2025-09-23,2025-09-30,"BSE, NSE",544533,STYL,813.28,423,76.26,51.27,9.24,48.93,432,411.45,-2.73,261.55,261.63,-38.17,265.90 (-37.33%),"437.45 (Sep 30, 2025)","231.05 (Jan 27, 2026)",265.9,-37.33,437.45,"Sep 30, 2025",231.05,"Jan 27, 2026","1,160.39","1,473.62",222.32,28.63,30.79,34.84%,31.87%,33.20%,669.67,490.52,378.68,15.09,14.78,13.74,13.41,370.37
Solarworld Energy Solutions IPO,2025-09-23,2025-09-30,"BSE, NSE",544532,SOLARWORLD,490,351,30.27,68.02,50.69,37.97,388.5,323.5,-7.83,206.75,205.85,-41.1,214.81 (-38.53%),"388.50 (Sep 30, 2025)","201.56 (Feb 13, 2026)",214.81,-38.53,388.5,"Sep 30, 2025",201.56,"Feb 13, 2026",598.02,551.09,77.05,33.77,39.48,40.27%,54.53%,40.27%,309.07,272,114.55,14.14,10.39,8.89,,106.75
BMW Ventures IPO,2025-09-24,2025-10-01,"BSE, NSE",544543,BMWVENTLTD,231.66,99,1.89,1.08,0.96,1,70.39,70.39,-28.9,58.01,58.02,-41.4,57.57 (-41.77%),"78.00 (Oct 01, 2025)","50.02 (Jan 13, 2026)",57.57,-41.77,78,"Oct 01, 2025",50.02,"Jan 13, 2026",676.09,"2,067.33",32.82,19.1,26.15,15.62%,12.80%,16.54%,210.12,,428.39,1.59,5.18,3.79,2.98,87.39
Epack Prefab Technologies IPO,2025-09-24,2025-10-01,"BSE, NSE",544540,EPACKPEB,504,204,2.75,3.74,1.7,2.53,189.99,194.25,-4.78,187.95,187.77,-7.87,191.20 (-6.08%),"344.00 (Nov 07, 2025)","174.90 (Jan 27, 2026)",191.2,-6.08,344,"Nov 07, 2025",174.9,"Jan 27, 2026",931.02,"1,140.49",59.32,29.49,34.54,22.69%,22.88%,22.69%,353.93,337.01,210.23,5.2,6.92,5.91,9.36,117.79
Jain Resource Recycling IPO,2025-09-24,2025-10-01,"BSE, NSE",544537,JAINREC,"1,250.00",232,11.3,5.58,3.72,9.69,319.94,304.58,31.28,382.9,382.5,65.04,396.70 (71.14%),"461.00 (Nov 18, 2025)","247.57 (Oct 01, 2025)",396.7,71.14,461,"Nov 18, 2025",247.57,"Oct 01, 2025","1,836.24","7,162.15",223.29,33.62,35.86,40.77%,24.22%,41.56%,707.46,660.01,919.92,3.13,6.9,6.47,20.44,368.58
Jinkushal Industries IPO,2025-09-25,2025-10-03,"BSE, NSE",544547,JKIPL,116.15,121,14.64,145.9,46.64,45.54,115.57,115.57,-4.49,68.33,68.59,-43.53,69.21 (-42.29%),"126.95 (Oct 03, 2025)","118.75 (Oct 03, 2025)",69.21,-42.29,126.95,"Oct 03, 2025",118.75,"Oct 03, 2025",179.35,385.81,19.14,18.8,24.26,28.30%,18.39%,21.22%,86.19,,54.82,5.03,6.43,4.99,4.18,28.6
Trualt Bioenergy IPO,2025-09-25,2025-10-03,"BSE, NSE",544545,TRUALT,839.28,496,66.53,102.95,11.37,52.69,545.4,530.95,7.05,419,419.7,-15.52,434.85 (-12.47%),"549.00 (Oct 03, 2025)","310.20 (Jan 27, 2026)",434.85,-12.47,549,"Oct 03, 2025",310.2,"Jan 27, 2026","3,029.73","1,968.53",146.64,23.89,29.01,28.27%,10.88%,19.07%,769,,"1,549.68",7.69,20.76,17.1,4.56,309.14
Pace Digitek IPO,2025-09-26,2025-10-06,"BSE, NSE",544550,PACEDIGITK,819.15,219,1.29,2.94,1.05,1.45,225,217.99,-0.46,181.2,180.72,-17.26,184.80 (-15.68%),"231.95 (Oct 10, 2025)","160.21 (Jan 27, 2026)",184.8,-15.68,231.95,"Oct 10, 2025",160.21,"Jan 27, 2026","2,648.96","2,462.20",279.1,14,16.94,23.09%,37.89%,22.87%,"1,080.33","1,134.21",160.7,11.44,15.64,12.93,3.07,505.13
Fabtech Technologies IPO,2025-09-29,2025-10-07,"BSE, NSE",544558,FABTECH,230.3,191,2.02,1.95,2.04,2.01,173.28,180.39,-5.55,161.4,162.45,-15.5,164.76 (-13.32%),"262.80 (Oct 28, 2025)","137.29 (Feb 03, 2026)",164.76,-13.32,262.8,"Oct 28, 2025",137.29,"Feb 03, 2026",426.56,335.94,46.33,13.32,18.28,30.46%,24.46%,26.83%,173.11,140.72,54.62,13.83,14.34,10.45,3.57,47.28
Glottis IPO,2025-09-29,2025-10-07,"BSE, NSE",544557,GLOTTIS,307,129,1.54,3.06,1.43,1.95,84,83.7,-35.12,52.29,52.37,-59.47,53.55 (-58.61%),"93.00 (Oct 07, 2025)","48.67 (Feb 02, 2026)",53.55,-58.61,93,"Oct 07, 2025",48.67,"Feb 02, 2026",156.1,942.55,56.14,18.38,21.23,56.98%,72.58%,56.98%,98.53,82.53,22.14,5.97,7.02,6.08,10.47,78.45
Om Freight Forwarders IPO,2025-09-29,2025-10-08,"BSE, NSE",544564,OMFREIGHT,122.31,135,2.91,7.38,2.77,3.58,89.84,89.84,-33.45,90.12,90.18,-33.24,90.63 (-33.13%),"107.40 (Nov 18, 2025)","81.10 (Oct 08, 2025)",90.63,-33.13,107.4,"Nov 18, 2025",81.1,"Oct 08, 2025",312.02,494.05,21.99,19.56,20.67,13.53%,15.80%,12.68%,173.47,,26.95,4.49,6.9,6.53,2.48,37.71
Advance Agrolife IPO,2025-09-30,2025-10-08,"BSE, NSE",544562,ADVANCE,192.86,100,11.59,174.55,22.17,39.68,103.01,105.02,5.02,138.65,138.3,38.65,138.12 (38.55%),"154.00 (Oct 27, 2025)","102.00 (Oct 10, 2025)",138.12,38.55,154,"Oct 27, 2025",102,"Oct 10, 2025",351.47,502.88,25.64,17.55,25.07,25.42%,27.02%,29.11%,100.87,55.87,80.45,5.1,5.7,3.99,5.98,48.25
WeWork India IPO,2025-10-03,2025-10-10,"BSE, NSE",544570,WEWORK,"3,000.00",648,1.33,0.23,0.57,1.09,650,628.65,-2.99,561.75,562,-13.31,575.10 (-11.18%),"664.00 (Nov 03, 2025)","555.60 (Jan 27, 2026)",575.1,-11.18,664,"Nov 03, 2025",555.6,"Jan 27, 2026","5,391.67","2,024.00",128.19,67.75,67.75,,,63.80%,199.7,65.68,310.22,,9.56,9.56,41.62,"1,235.95"
Tata Capital IPO,2025-10-06,2025-10-13,"BSE, NSE",544574,TATACAP,"15,511.87",326,1.98,1.95,1.06,1.65,330,330.5,1.38,353.3,353.3,8.37,356.90 (9.54%),"367.30 (Jan 20, 2026)","315.10 (Nov 21, 2025)",356.9,9.54,367.3,"Jan 20, 2026",315.1,"Nov 21, 2025",,"7,691.65","1,040.93",35.99,33.24,12.60%,,11.20%,"32,761.73","29,260.88",,,9.06,9.81,4.1,"5,565.86"
LG Electronics IPO,2025-10-07,2025-10-14,"BSE, NSE",544576,LGEINDIA,"11,607.01","1,140",67.21,22.08,3.39,38.03,"1,710.10","1,689.90",48.24,"1,511.50","1,511.20",32.59,"1,469.00 (28.96%)","1,749.00 (Oct 14, 2025)","1,325.50 (Jan 21, 2026)",1469,28.96,1749,"Oct 14, 2025",1325.5,"Jan 21, 2026","11,516.44","6,337.36",513.26,35.12,37.69,,42.91%,37.13%,"6,447.85","5,805.50",0,8.95,32.46,30.25,13.04,716.27
Canara Robeco IPO,2025-10-09,2025-10-16,"BSE, NSE",544580,CRAMC,"1,326.13",266,10.96,6.4,1.86,7.09,280.25,300.45,12.95,255.5,255.4,-3.95,260.05 (-2.2%),"353.40 (Oct 27, 2025)","244.00 (Feb 02, 2026)",260.05,-2.2,353.4,"Oct 27, 2025",244,"Feb 02, 2026",735.1,121.34,60.98,27.82,21.75,,,36.17%,660.6,461.19,,47.24,9.56,12.23,8.84,81.77
Rubicon Research IPO,2025-10-09,2025-10-16,"BSE, NSE",544578,RUBICON,"1,377.68",485,55.39,101.82,36.48,60.38,620,628.2,29.53,783.95,784.55,61.64,772.25 (58.93%),"822.00 (Feb 05, 2026)","570.75 (Oct 24, 2025)",772.25,58.93,822,"Feb 05, 2026",570.75,"Oct 24, 2025","1,647.60",356.95,43.3,55.75,46.13,29.02%,26.45%,29.02%,593.67,397.5,495.78,10.37,8.7,10.51,13.65,79.74
Canara HSBC Life IPO,2025-10-10,2025-10-17,"BSE, NSE",544583,CANHLIFE,"2,517.50",106,3.44,0.32,0.4,1.9,106,111.42,5.11,151.5,151.61,42.92,147.09 (38.77%),"157.80 (Dec 29, 2025)","106.00 (Oct 17, 2025)",147.09,38.77,157.8,"Dec 29, 2025",106,"Oct 17, 2025","44,047.98",42.35,23.41,86.08,107.53,7.71%,,7.97%,"1,540.28",590.28,,,1.23,0.99,6.64,31.28
Midwest IPO,2025-10-15,2025-10-24,"BSE, NSE",544587,MIDWESTLTD,451.1,"1,065",59.13,175.57,24.56,64.34,"1,165.00","1,140.50",7.09,"1,378.70","1,380.10",29.46,"1,474.50 (37.77%)","1,859.90 (Jan 08, 2026)","1,048.50 (Oct 28, 2025)",1474.5,37.77,1859.9,"Jan 08, 2026",1048.5,"Oct 28, 2025","1,082.81",146.47,24.38,27.01,39.49,19.42%,18.84%,22.11%,577.03,625.6,270.11,17.17,39.42,26.97,6.5,38.97
Orkla India IPO,2025-10-29,2025-11-06,"BSE, NSE",544595,ORKLAINDIA,"1,667.54",730,47.55,54.25,6.8,34.25,750.1,713.65,-2.24,546.25,546.05,-25.17,556.80 (-23.63%),"760.00 (Nov 06, 2025)","544.20 (Feb 13, 2026)",556.8,-23.63,760,"Nov 06, 2025",544.2,"Feb 13, 2026","3,158.20",605.38,78.92,39.11,31.68,,32.70%,13.80%,"1,931.12","2,523.56",2.33,10.7,18.67,23.04,5.4,111.75
Studds Accessories IPO,2025-10-30,2025-11-07,"BSE, NSE",544599,STUDDS,455.49,585,64.55,76.66,21.55,51.31,565,560.3,-4.22,496.45,496.9,-15.14,520.25 (-11.14%),"600.00 (Nov 18, 2025)","475.00 (Feb 02, 2026)",520.25,-11.14,600,"Nov 18, 2025",475,"Feb 02, 2026",586.61,152.01,20.25,33.06,28.43,16.64%,20.25%,15.49%,469.77,450.09,2.91,11.93,17.7,20.58,5.12,30.26
Lenskart Solutions IPO,2025-10-31,2025-11-10,"BSE, NSE",544600,LENSKART,"7,278.02",402,16.74,18.28,7.48,16.01,395,403.1,0.27,505.1,502.2,25.65,513.00 (27.61%),"533.00 (Feb 13, 2026)","356.10 (Nov 10, 2025)",513,27.61,533,"Feb 13, 2026",356.1,"Nov 10, 2025","10,845.68","1,946.10",61.17,227.27,284.96,,13.84%,4.84,"6,176.87","5,855.43",335.48,-115,1.77,1.41,11.03,336.63
Pine Labs IPO,2025-11-07,2025-11-14,"BSE, NSE",544606,PINELABS,"3,900.17",221,2.2,0.29,1.2,1.81,242,250.89,13.52,201.05,201.31,-9.03,203.33 (-7.96%),"284.00 (Nov 14, 2025)","192.81 (Feb 12, 2026)",203.33,-7.96,284,"Nov 14, 2025",192.81,"Feb 12, 2026","10,904.32",653.08,4.79,-160.13,"1,325.57",,,-4.15%,"2,327.55",,888.74,,-1.38,0.17,-9.85,120.56
Emmvee Photovoltaic IPO,2025-11-11,2025-11-18,"BSE, NSE",544608,EMMVEE,"2,900.00",217,1.15,0.3,1.11,1.02,217,219.4,1.11,210.3,210.29,-3.09,207.26 (-4.49%),"248.40 (Dec 03, 2025)","171.51 (Dec 18, 2025)",207.26,-4.49,248.4,"Dec 03, 2025",171.51,"Dec 18, 2025","4,347.72","1,042.22",187.68,34.9,20.01,104.60%,23.33%,69.44%,718.79,608.83,"2,032.11",15.8,6.22,10.84,24.25,347.38
PhysicsWallah IPO,2025-11-11,2025-11-18,"BSE, NSE",544609,PHYSICS,"3,480.00",109,1.75,0.5,1.06,1.49,145,155.24,42.42,107.3,107.33,-1.56,100.36 (-7.89%),"161.99 (Nov 18, 2025)","95.43 (Feb 13, 2026)",100.36,-7.89,161.99,"Nov 18, 2025",95.43,"Feb 13, 2026","5,075.67",905.41,-127.01,-116.86,-62.06,,,-12.50%,"1,867.92",787.92,1.55,-8.43,-0.93,-1.76,14.1,-21.22
Tenneco Clean Air IPO,2025-11-12,2025-11-19,"BSE, NSE",544612,TENNIND,"3,600.00",397,70.45,42.65,5.26,43.47,505,490.8,23.63,560.75,560.5,41.25,576.15 (45.11%),"589.80 (Feb 10, 2026)","438.05 (Dec 18, 2025)",576.15,45.11,589.8,"Feb 10, 2026",438.05,"Dec 18, 2025","2,918.77","1,316.43",168.09,28.97,23.83,42.65%,56.78%,46.65%,"1,250.38","1,204.30",,11.31,13.71,16.66,12.77,228.88
Fujiyama Power Systems IPO,2025-11-13,2025-11-20,"BSE, NSE",544613,UTLSOLAR,828,228,2.72,0.88,1.01,1.84,220,208.44,-8.58,210.85,210.93,-7.52,210.69 (-7.52%),"230.99 (Nov 20, 2025)","192.00 (Dec 18, 2025)",210.69,-7.52,230.99,"Nov 20, 2025",192,"Dec 18, 2025","1,243.88",597.79,67.59,40.85,25.84,39.40%,41.01%,39.40%,464.34,436.33,432.83,10.15,5.58,8.82,16.09,105.89
Capillary Technologies IPO,2025-11-14,2025-11-21,"BSE, NSE",544614,CAPILLARY,877.5,577,23.44,69.49,15.4,29.48,571.9,606.5,5.11,518.55,518.15,-10.13,562.15 (-2.55%),"798.95 (Nov 26, 2025)","555.30 (Feb 12, 2026)",562.15,-2.55,798.95,"Nov 26, 2025",555.3,"Feb 12, 2026",892.33,362.56,1.03,298.93,"2,214.95",,2.76%,2.85%,509.38,149.34,88.94,2.37,1.93,0.26,8.87,39.82
Excelsoft Technologies IPO,2025-11-19,2025-11-26,"BSE, NSE",544617,EXCELSOFT,500,120,20.52,106.72,16.01,31.87,135,125.97,4.97,87.57,87.29,-27.03,93.05 (-22.37%),"142.59 (Nov 26, 2025)","68.00 (Jan 30, 2026)",93.05,-22.37,142.59,"Nov 26, 2025",68,"Jan 30, 2026",478.34,60.28,6.01,34.62,57.46,10.38,16.11,10.38,375.95,274.25,37.82,14.87,3.47,2.09,3.23,10.18
Sudeep Pharma IPO,2025-11-21,2025-11-28,"BSE, NSE",544619,SUDEEPPHRM,895,593,85.68,116.18,15.14,65.56,730,774.15,30.55,667.65,668.4,12.59,672.20 (13.27%),"795.00 (Nov 28, 2025)","524.05 (Jan 21, 2026)",672.2,13.27,795,"Nov 28, 2025",524.05,"Jan 21, 2026",922.26,130.08,31.27,47.61,53.55,,,27.88%,688.32,668.52,135.97,27.63,12.46,11.07,12.93,48.57
Aequs IPO,2025-12-03,2025-12-10,"BSE, NSE",544634,AEQUS,921.81,124,49.72,82.97,78.08,57.41,140,151.29,22.01,142.5,141.99,14.92,143.62 (15.65%),"165.40 (Dec 18, 2025)","131.14 (Feb 02, 2026)",143.62,15.65,165.4,"Dec 18, 2025",131.14,"Feb 02, 2026","2,134.35",565.55,-16.98,-74.71,-244.92,-14.3,0.87,-14.47,796.04,200.43,533.51,-11.07,-1.66,-0.51,9.94,84.11
Meesho IPO,2025-12-03,2025-12-10,"BSE, NSE",544632,MEESHO,"5,421.20",111,49.97,39.29,19.12,45.28,162.5,170.09,53.23,152.6,152.85,37.48,153.04 (37.93%),"254.40 (Dec 18, 2025)","144.76 (Feb 04, 2026)",153.04,37.93,254.4,"Dec 18, 2025",144.76,"Feb 04, 2026","6,640.39","5,857.69",-700.72,-11.63,-35.75,,,-252.37%,968.87,,,,-9.54,-3.11,30.16,-551.87
Vidya Wires IPO,2025-12-03,2025-12-10,"BSE, NSE",544633,VIDYAWIRES,300.01,52,2.74,55.65,29.35,19.99,52,53.17,2.25,47.04,47.06,-9.54,47.35 (-8.94%),"58.45 (Dec 10, 2025)","42.51 (Feb 01, 2026)",47.35,-8.94,58.45,"Dec 10, 2025",42.51,"Feb 01, 2026",376.93,413.09,12.06,20.36,22.94,24.57%,19.72%,24.57%,178.37,162.37,162.75,2.74,2.55,2.27,5,18.67
Corona Remedies IPO,2025-12-08,2025-12-15,"BSE, NSE",544644,CORONA,655.37,"1,062",117.52,219.49,29.29,101.01,"1,470.00","1,438.40",35.44,"1,586.80","1,593.10",49.42,"1,614.10 (52%)","1,660.80 (Feb 11, 2026)","1,336.60 (Dec 23, 2025)",1614.1,52,1660.8,"Feb 11, 2026",1336.6,"Dec 23, 2025","1,012.38",348.56,46.2,43.47,35.15,27.50%,41.32%,24.65%,607.02,545.86,106.65,12.49,24.43,30.21,10.71,71.8
Wakefit Innovations IPO,2025-12-08,2025-12-15,"BSE, NSE",544642,WAKEFIT,"1,288.89",195,1.82,1.02,3.07,1.82,195,192.29,-1.39,213.1,213.35,9.28,214.95 (10.15%),"224.00 (Feb 12, 2026)","164.06 (Jan 07, 2026)",214.95,10.15,224,"Feb 12, 2026",164.06,"Jan 07, 2026","1,220.34",741.3,35.57,-171.29,89.58,-6.58%,-0.68%,-6.72%,557.34,522.34,,-2.75,-1.14,2.18,11.5,103.19
Nephrocare Health IPO,2025-12-10,2025-12-17,"BSE, NSE",544647,NEPHROPLUS,871.05,460,11.29,24.73,2.29,10.12,490,471.25,2.45,573.95,572.7,24.77,575.25 (25.16%),"603.80 (Feb 11, 2026)","446.00 (Dec 19, 2025)",575.25,25.16,603.8,"Feb 11, 2026",446,"Dec 19, 2025","1,193.68",483.97,14.23,63.52,162.19,13.45%,18.67%,13.19%,716.06,704.14,207.04,8.88,7.24,2.84,7.72,110.31
Park Medi World IPO,2025-12-10,2025-12-17,"BSE, NSE",544645,PARKHOSPS,920,162,5.58,15.51,3.24,6.25,158.8,147.95,-8.67,175.45,175.53,8.3,172.23 (6.45%),"165.87 (Dec 17, 2025)","138.10 (Dec 18, 2025)",172.23,6.45,165.87,"Dec 17, 2025",138.1,"Dec 18, 2025","2,320.93",823.39,139.14,29.21,25.14,20.68%,17.47%,20.08%,"1,153.05","1,187.77",733.91,15.3,5.55,6.44,6.09,217.14
ICICI Prudential AMC IPO,2025-12-12,2025-12-19,"BSE, NSE",544658,ICICIAMC,"10,602.65","2,165",50.39,21,2.42,28.19,"2,600.00","2,585.90",19.44,"3,008.55","3,008.30",38.96,"3,108.50 (43.54%)","3,150.60 (Feb 12, 2026)","2,530.00 (Dec 22, 2025)",3108.5,43.54,3150.6,"Feb 12, 2026",2530,"Dec 22, 2025","4,827.34","2,949.61","1,617.74",40.37,33.07,82.80%,,82.80%,"3,921.56","3,903.91",,,53.63,65.46,30.41,"2,210.10"
KSH International IPO,2025-12-16,2025-12-23,"BSE, NSE",544664,KSHINTL,626.35,384,1.17,0.45,0.93,0.98,370,355,-7.55,359.6,360.95,-6.35,365.10 (-4.74%),"403.70 (Jan 06, 2026)","330.00 (Feb 01, 2026)",365.1,-4.74,403.7,"Jan 06, 2026",330,"Feb 01, 2026",793.28,562.6,22.68,32.09,28.68,22.77,16.6,22.77,321.47,293.07,379.39,3.51,11.97,13.39,7.31,40.28
Gujarat Kidney IPO,2025-12-22,2025-12-30,"BSE, NSE",544666,GKSL,250.8,114,1.18,4.73,18.31,3.42,120,104.54,-8.3,110.4,110.46,-3.16,114.15 (-0.04%),"123.00 (Dec 30, 2025)","98.36 (Jan 23, 2026)",114.15,-0.04,123,"Dec 30, 2025",98.36,"Jan 23, 2026",61.59,15.27,5.4,61.62,41.59,36.61%,37.65%,36.61%,30.56,19.42,4.03,23.61,1.85,2.74,22.62,8.63